hospital;link;ratings;total_reviews;location;rating;review
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;L'hôpital principal de Dakar est une hôpital militaire de référence. Cette hôpital accueille la majorité des patients militaires et civiles du pays avec des services organisés et bien structuré. Un personnel très professionnel et engagé pour les causes des patients. Avec la rigueur militaire en bandoulière L'hôpital principal est l'une des hôpitaux les plus accueillante du pays. Cet structuré hospitalier est situé non loin du Palais Présidentiel en face du building administratif au quartier Plateau de Dakar.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Je donne 4 puisque c'est un lieu accessible et vraiment rassurant pour les soin. Mais le Monsieur qui décroche pour donner des renseignements est vraiment désagréable. N'est pas du tout accueillant😠😠😠😠😠😠.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;MEILLEUR HOPITAL DU SENEGAL
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 1 étoile ;"Ceux mercredi a 23h j'ai été dans cette hôpital et jusqu'à presque 2h du matin personnes ne ma consulter épourtant j'avais une grave blessure a la cuisse et je perde du sang celle qui était de garde du nom de Laur...... Qui es une femme de fort corpulence ma carrément dit en face
Ici (au urgence) les malades son pris par ordre d'arrivé donc si vous êtes entre la vie et la mort vous allez attendre celui qui es venue avant vous dont le cas es moins critique.
Ensuite que même si elle regardé ma blessure le chirurgien ne prend plus de patient aujourd'hui

Voici la blessure ci dessous"
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;L’hôpital de référence au sénégal.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Un lieu immense comme tant d autre hôpitaux accessible au cœur de la ville
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Le projet initial date de 1882, il s’agit alors de construire une ambulance de 200 lits, sur un site proche du Cap Manuel, en face de Gorée[1]. Inauguré en 1884 après la fermeture de l’hôpital de Gorée, il devient Hôpital militaire en 1890, et prend une importance particulière quand Dakar est érigée en capitale de l’Afrique-Occidentale française en 1895.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Il y'a vraiment de l'hygiène dans cette hôpital et en plus on se sent a l'aise avec une belle verdure . bon environnement
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Hôpital d'instruction des médecins militaires
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Bcp d'effort consenti et apparent dans la qualité de l'accueil, le niveau insfrastrurel avec les locaux complètement réfectionnés pour certains, le plateau technique relevé, la réduction des temps d'attente, et la gestion des patients en hospitalisation ++++ BRAVO
